X,Y,ID,NAME,ADDRESS,TELEPHONE,WEB_URL,GIS_ID,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE,ZIPCODE,CREATED,EDITED,GLOBALID,OBJECTID
-8575876.23877828,4719497.83065697,29,Lowell School,1640 KALMIA ROAD NW,202-577-2000,https://www.lowellschool.org,IndSchPt_39,302442,396672.58,146320.89,38.98481235,-77.0384048,20012,,2024/04/17 19:12:26+00,{4BB2F212-BD77-4AE1-9750-EE1D12174C2C},1
-8579965.09639515,4717075.74536746,14,Blessed Sacrament School,5841 CHEVY CHASE PARKWAY NW,202-966-6682,https://www.bsstoday.org,IndSchPt_31,274472,393460.12,144442.79,38.96787595,-77.07546481,20015,,,{44E90061-3732-461F-B526-A2BB25384969},2
-8574659.46127716,4716571.16982005,15,The Bridges Academy,6119 GEORGIA AVENUE NW,202-829-1901,N/A,IndSchPt_1,295158,397619.12,144051.91,38.96437593,-77.02747204,20011,,2024/04/17 23:34:50+00,{97C9EF48-8AF8-4C44-BE21-9FDDEE41533A},4
-8575604.73035641,4716526.07181665,4,Milton Gottesman Jewish Day School North Campus,6045 16TH STREET NW,202-291-5737,https://www.miltongottesman.org/,IndSchPt_47,256159,396883.1,144017.12,38.96406023,-77.03596452,20011,,2024/04/17 19:36:47+00,{4FD4AAB4-29B8-46A0-ACF1-AF2085B50952},5
-8577742.23142143,4716286.40997333,46,St. John's College High School,2607 MILITARY ROAD NW,202-363-2316,https://www.stjohnschs.org/,IndSchPt_25,259840,395218.79,143832.67,38.96239084,-77.05516696,20015,,2024/04/17 23:11:58+00,{9DEFAECE-5797-46F1-A3FB-9572167E5658},6
-8580792.74138551,4714770.78115515,20,Georgetown Day School High School,4200 DAVENPORT STREET NW,202-274-3200,https://www.gds.org,IndSchPt_35,266095,392828.22,142660.93,38.95181924,-77.08273778,20016,,2024/04/16 00:10:46+00,{22C95608-2B0F-4E87-8486-0FCEC1957E0E},7
-8575693.89750823,4714511.02806331,38,Parkmont School,4842 16TH STREET NW,202-726-0740,https://www.parkmont.org,IndSchPt_7,258748,396813,142454.37,38.94998199,-77.03676611,20011,,2024/04/17 21:31:37+00,{6FCC743F-3E49-45A7-BD8B-E5722B12C4B9},9
-8575601.72445112,4714232.76722696,8,Milton Gottesman Jewish Day School South Campus,4715 16TH STREET NW,202-291-5737,https://www.miltongottesman.org/,IndSchPt_48,255699,396884.65,142238.67,38.94803916,-77.03593856,20011,,2024/04/17 19:34:08+00,{52C9F928-36BD-4E56-96FD-7CD20AAF0143},11
-8579452.43293714,4714049.84016319,49,Sheridan School,4400 36TH STREET NW,202-362-7900,https://www.sheridanschool.org,IndSchPt_8,221854,393885.95,142098.76,38.94676306,-77.07053019,20008,,2024/04/17 22:10:36+00,{91E72664-1AAB-4686-8158-241E42F361E4},12
-8569851.46059871,4714146.45581423,6,St. Anselm's Abbey School,4501 SOUTH DAKOTA AVENUE NE,202-269-2350,https://www.saintanselms.org/ ,IndSchPt_14,288238,401362.34,142171.33,38.94743701,-76.98428423,20017,,2024/04/17 22:58:11+00,{9F0A8C0D-FC14-4366-861C-B6B9B86705E9},13
-8578503.65651257,4713421.21650878,17,Edmund Burke School,4101 CONNECTICUT AVENUE NW,202-362-8882,https://www.burkeschool.org/,IndSchPt_32,302397,394624.6,141610.31,38.94236779,-77.06200548,20008,,2024/04/15 23:12:25+00,{2EEBDAC1-AA25-4377-B056-E51F27C04045},14
-8580679.22990314,4713296.26847447,32,National Presbyterian School,4121 NEBRASKA AVENUE NW,202-537-7500,https://www.nps-dc.org,IndSchPt_41,301072,392930.02,141515.57,38.94150268,-77.08155155,20016,,2024/04/17 21:19:39+00,{0978AFDB-EEFE-44FD-85F1-D5B67892CB18},15
-8576633.1561346,4709454.56828426,26,Fusion Academy,2000 FLORIDA AVENUE NW,202-244-0639,https://www.fusionacademy.com/campuses/washington-dc/,IndSchPt_51,242565,396079.57,138532.74,38.91465179,-77.04520476,20009,,2024/04/15 23:42:59+00,{3A91B3F7-C0ED-4D26-A0EB-CBDB482CA095},16
-8572326.39553964,4713204.84241777,1,Archbishop Carroll High,4300 HAREWOOD ROAD NE,202-529-0900,https://www.archbishopcarroll.org/,IndSchPt_29,290010,399454.23,141441.84,38.94086644,-77.00629535,20017,,,{74F27CF6-9BD5-4D51-8C9A-D8A961FC69EE},17
-8579838.65632319,4712994.8558863,50,Sidwell Friends School,3825 WISCONSIN AVENUE NW,202-537-8100,https://www.sidwell.edu,IndSchPt_9,293241,393584.52,141281.03,38.93939457,-77.07399977,20016,,2024/04/17 22:14:09+00,{540CAEC3-E42E-4C5F-9599-B50E2807F7CB},18
-8578731.08276179,4712500.2495394,10,National Child Research Center,3209 HIGHLAND PLACE NW,202-363-8777,https://www.ncrcpreschool.org/,IndSchPt_50,221029,394446.95,140896.08,38.9359327,-77.0640489,20008 ,,2024/04/17 21:17:42+00,{9FA9703C-9012-4918-86B8-DFB7F736EFC3},19
-8578472.09755452,4711996.65040507,52,Washington International School Tregaron Campus,3100 MACOMB STREET NW,202-243-1800,https://www.wis.edu,IndSchPt_10,300693,394648.15,140506.16,38.93242143,-77.06172522,20008,,2024/04/18 00:23:08+00,{045A7945-1C05-45FE-A352-43A4FBBE807F},20
-8575790.0772743,4711990.21102447,41,Sacred Heart School,1625 PARK ROAD NW,202-265-4828,https://sacredheartschooldc.com/,IndSchPt_24,284056,396737.06,140499.52,38.93237219,-77.03763288,20010,,2024/04/17 21:38:28+00,{8FFA1B00-0A3C-43AF-930F-554E7C249BC6},21
-8570636.93145624,4711918.08701432,7,St. Anthony Catholic School,3400 12TH STREET NE,202-526-4657,https://stanthonyschooldc.org/,IndSchPt_15,289591,400750.75,140443,38.93186844,-76.99134134,20017,,2024/04/17 22:59:58+00,{DB2B041A-74F1-49EF-B91E-C9DB3CE1505B},22
-8579631.26778797,4711854.97828651,31,National Cathedral School,3612 WOODLEY ROAD NW,202-537-6300,https://ncs.cathedral.org/,IndSchPt_40,308567,393745.33,140396.02,38.93142363,-77.07213683,20016,,2024/04/17 21:15:15+00,{F9D33A91-5E8D-47C6-B67D-4B0ED2D21E4D},23
-8580040.99610655,4711672.0279006,12,Annunciation School,3810 MASSACHUSETTS AVENUE NW,202-362-1408,https://www.annunciationschool.net/ ,IndSchPt_16,263608,393426.08,140254.79,38.93014905,-77.07581747,20016,,,{C7CA306E-64D9-44D9-BCA6-F8D19A6686E6},24
-8579156.15751316,4711668.65618933,13,Beauvoir School,3500 WOODLEY ROAD NW,202-537-6485,https://www.beauvoirschool.org/,IndSchPt_30,300818,394115.17,140251.87,38.93012763,-77.06787013,20016,,2024/04/15 21:05:50+00,{B7D54B1E-A302-4C5E-AED6-A5854E4AC664},25
-8579598.99916974,4711424.73849179,42,St. Albans School,MOUNT ST. ALBAN,202-537-6435,https://www.stalbansschool.org,IndSchPt_19,302446,393770.87,140062.49,38.92841927,-77.07183924,20016,,2024/04/17 22:52:35+00,{1216B22A-BDCC-497C-8462-F55680DC7C26},26
-8578363.39408189,4711400.35078374,30,Maret School,3000 CATHEDRAL AVENUE NW,202-939-8800,https://www.maret.org,IndSchPt_5,220176,394732.65,140043.36,38.9282529,-77.06074709,20008,,2024/04/17 19:17:03+00,{6DBFA16D-3F31-4A1D-B3AF-93BD2CB94FF8},27
