ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC and outlying territories

State Name,State Abbr [State] Latest available year,ANSI/FIPS State Code [State] Latest available year,Total Number Operational School Districts [District] 2023-24,Total Number Operational Schools [Public School] 2023-24,Total Number Operational Charter Schools [Public School] 2023-24,Prekindergarten Students [State] 2023-24,Kindergarten Students [State] 2023-24,Grades 1-8 Students [State] 2023-24,Grades 9-12 Students [State] 2023-24,Grade 13 Students [State] 2023-24,Ungraded Students [State] 2023-24,American Indian/Alaska Native Students [State] 2023-24,Asian or Asian/Pacific Islander Students [State] 2023-24,Hispanic Students [State] 2023-24,Black or African American Students [State] 2023-24,White Students [State] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [State] 2023-24,Two or More Races Students [State] 2023-24,Total Enrollment (Exclude AE) for SY 2014-15 onward [State] 2023-24,Full-Time Equivalent (FTE) Teachers [State] 2023-24,Pupil/Teacher Ratio [State] 2023-24,State Name [State] 2023-24,Total Number of Districts with Enrollment [District] 2023-24,Total Number of School Districts [District] 2023-24,Total Number of Public Schools [Public School] 2023-24,Male Students [State] 2023-24,Female Students [State] 2023-24,Black or African American - male [State] 2023-24,Black or African American - female [State] 2023-24,White - male [State] 2023-24,White - female [State] 2023-24,Grade 12 Students - Black or African American [State] 2023-24,Secondary Teachers [State] 2023-24,Elementary Teachers [State] 2023-24,Full-Time Equivalent (FTE) Staff [State] 2023-24
ALABAMA,AL ,01,156,1524,18,21924,55881,447317,223528,†,†,5997,11016,84196,236304,381550,831,28756,748650,42857.92,17.47,ALABAMA,150,159,1527,384500,364150,120605,115699,197384,184166,15413,20188.71,18395.46,79963.90
ALASKA,AK ,02,54,494,31,3320,9257,78890,39776,†,†,28284,6458,10076,2955,61502,4148,17820,131243,7221.23,18.17,ALASKA,54,54,498,67646,63597,1488,1467,31786,29716,241,3673.47,2985.09,16423.20
AMERICAN SAMOA,AS ,60,1,29,†,–,–,–,–,†,†,–,–,–,–,–,–,–,–,–,–,AMERICAN SAMOA,0,1,29,†,†,–,–,–,–,–,–,–,–
ARIZONA,AZ ,04,685,2427,571,20810,72320,654843,369124,†,533,46878,35975,539087,64938,378320,4017,48415,1117630,49260.47,22.69,ARIZONA,664,722,2557,569863,547767,33191,31747,194292,184028,5876,15996.72,30478.09,109199.43
ARKANSAS,AR ,05,304,1101,105,10102,34776,290034,149892,†,174,2789,8858,70888,94324,280483,4960,22666,484978,38755.10,12.51,ARKANSAS,260,308,1106,248311,236657,47530,46794,144628,135855,5828,16388.28,17007.13,80416.65
BUREAU OF INDIAN EDUCATION,BI ,59,174,174,†,–,3055,23932,9792,†,†,36779,0,0,0,0,0,0,36779,2903.16,12.67,BUREAU OF INDIAN EDUCATION,174,174,174,18590,18189,0,0,0,0,0,847.53,1879.63,8129.00
CALIFORNIA,CA ,06,2108,10326,1280,–,522217,3401314,1913807,†,†,25382,706259,3272723,287143,1180961,23746,335496,5837338,268194.63,21.77,CALIFORNIA,1984,2113,10349,2997707,2834003,147281,139862,612771,568190,25701,91540.17,151320.93,631676.14
COLORADO,CO ,08,272,1908,261,32048,57265,496026,280322,†,†,5283,28679,310531,39833,432270,2882,45788,865661,53775.71,16.10,COLORADO,185,272,1908,444154,421112,20314,19519,223433,208837,3178,24121.87,24121.13,121581.60
CONNECTICUT,CT ,09,208,1010,21,19530,34565,294019,164538,†,†,1254,26601,159209,63981,236652,492,23872,512652,43104.24,11.89,CONNECTICUT,201,210,1018,264235,247826,32790,31191,122809,113843,5249,15778.56,24384.00,101379.10
DELAWARE,DE ,10,45,234,23,2529,9762,84194,45357,†,0,565,6270,27772,43540,55789,184,7722,141842,9909.33,14.31,DELAWARE,42,45,235,73012,68830,22331,21209,29056,26733,2992,4943.65,4465.18,18898.95
DISTRICT OF COLUMBIA,DC ,11,72,245,125,12232,7227,51253,21831,†,251,142,1398,17121,58504,12428,49,3074,92794,8335.22,11.13,DISTRICT OF COLUMBIA,65,72,245,47111,45605,29479,29025,6340,6088,2604,3013.10,3966.57,17477.69
FLORIDA,FL ,12,82,4229,733,65744,195464,1707338,903789,†,†,6759,82752,1067666,600355,988974,4962,120867,2872335,155799.65,18.44,FLORIDA,82,83,4248,1473825,1398510,307105,293250,509124,479850,45702,62687.11,56551.14,339161.42
GEORGIA,GA ,13,253,2327,99,50369,118761,1030206,550365,†,†,3926,85849,328000,633871,612006,1755,84294,1749701,123640.10,14.15,GEORGIA,235,253,2327,893994,855707,320884,312987,315355,296651,42158,48676.90,44978.50,249966.20
GUAM,GU ,66,5,45,4,–,–,–,–,†,†,–,–,–,–,–,–,–,–,1684.00,–,GUAM,0,5,45,†,†,–,–,–,–,–,897.00,661.00,3524.00
HAWAII,HI ,15,1,295,37,1659,11963,105633,49583,†,470,223,40198,32288,2206,18764,42135,33494,169308,12112.91,13.98,HAWAII,1,1,296,88269,81039,1114,1092,9762,9002,149,5665.41,5481.55,23107.87
IDAHO,ID ,16,190,801,82,4056,20653,191896,99809,†,†,3238,3439,62892,3733,231219,1065,10828,316414,17964.91,17.61,IDAHO,187,192,810,162199,154215,1968,1765,118896,112323,243,7888.39,9035.28,31912.22
ILLINOIS,IL ,17,1031,4400,133,79718,120807,1054340,591399,†,†,4561,103655,517863,302849,836894,1683,78102,1846264,136492.20,13.53,ILLINOIS,865,1031,4400,949279,896328,153951,148898,434143,402751,21968,42065.71,87419.25,269439.91
INDIANA,IN ,18,444,1917,126,23756,72968,607715,325874,†,2410,1667,31206,151045,137862,653198,1064,56681,1032723,67373.75,15.33,INDIANA,417,444,1917,530076,502647,70029,67833,337229,315969,10823,32245.27,30390.46,136756.37
IOWA,IA ,19,336,1318,5,29413,36605,285766,156328,†,†,1617,12602,65894,35445,363367,3387,25414,508112,36068.04,14.09,IOWA,327,338,1320,261556,246170,18178,17267,187699,175668,2334,10618.06,21181.07,77869.56
