X,Y,OBJECTID,NAME,ADDRESS,FACUSE,LEVEL_,STATUS,PHONE,PS,PK,K,GR_1,GR_2,GR_3,GR_4,GR_5,GR_6,GR_7,GR_8,GR_9,GR_10,GR_11,GR_12,UNGRADED,TOTAL_STUD,SSL,GIS_ID,WEB_URL,BLDG_NUM,SCH_PROG,CAPITALGAINS,CAPACITY,YEAR_BUILT,SQUARE_FOOTAGE,POPULATION_PLAN,POPULATION_ENROLLED_2008,YEAR_CLOSED,MAR_ID,XCOORD,YCOORD,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8573033.4407401,4716254.54649429,1,Rabaut Junior High School,100 PEABODY STREET NW,NOT USED,JHS,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_28, ,1022,,,,,,,,,277545,,,,{4BFAFA5D-AF2C-4437-93EA-7B8B300D5F46},,,JLAY,2025/02/13 21:30:28+00
-8574352.75199949,4716131.43892964,2,Paul Junior High School,"5800 8th Street, N.W.",NOT USED,JHS,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_17, ,422,,,,,,,,,294613,,,,{45C9295D-0BEE-4131-8E5A-CE136FA20F78},,,,
-8575118.29120168,4716019.05826916,3,Sharpe Health Annex ,1351 Nicholson Street NW,,,Closed,,,,,,,,,,,,,,,,,,,,PubSchPt_Closed_33,,,,,,,17413,,,2006,257768,397261.57,143623.99,,{D0FE817B-969A-4BA7-983C-B222CB7189FA},,,JLAY,2025/02/13 21:30:28+00
-8572339.96740196,4715217.75463372,4,Keene,"33 Riggs Road, NE",Leased,Other,Closed,,,,,,,,,,,,,,,,,,, ,PubSchPt_Closed_10, ,1012,,,,,,,,2000,155991,399424.65,143002.17,,{08E798AC-5BE7-489C-B373-46E11E646113},,,JLAY,2025/02/13 21:30:28+00
-8573139.37157509,4715069.7791553,5,Rudolph Elementary School,5200 2ND STREET NW,Elementary School,ES,Closed,202-576-6186,17,0,31,32,32,28,27,31,30,0,0,0,0,0,0,0,228, ,PubSchPt_Closed_52,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,306,306,,0,0,0,0,0,2008,294608,398802.1905,142887.49,,{5965FA47-AE8F-4345-B370-D62C403D051C},,,,
-8571296.85139449,4714991.3215812,6,Backus Middle School,5171 SOUTH DAKOTA AVENUE NE,Middle School,MS,Closed,202-576-6110,0,0,0,0,0,0,0,0,10,48,83,0,0,0,0,0,141, ,PubSchPt_Closed_53,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,401,401,,0,0,0,0,0,2008,294607,400236.8605,142826.56,,{6205E18B-B1EB-40EE-A040-7E2D8698FA8B},,,,
-8572405.32528893,4714872.87933905,7,Mamie D. Lee School,100 GALLATIN STREET NE,Special Education School,SE,Closed,202-576-6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90, ,PubSchPt_Closed_5,http://dcatlas.dcgis.dc.gov/schoolprofile/schools.aspx,465,465,N,,1971,,,,,294470,,,,{1FA45A38-7A65-4FF1-B9BD-E1B6BE564E07},,,,
-8574096.4246141,4713883.57148476,8,Clark Elementary School,4501 KANSAS AVENUE NW,Elementary School,ES,Closed,202-576-6219,14,18,28,25,41,26,22,26,0,0,0,0,0,0,0,0,200, ,PubSchPt_Closed_55,http://educationcenter.dc.gov/ec/site/default.asp?portal_link=cc,223,223,,0,0,0,0,0,2008,284930,398056.7605,141967.7,,{453AF930-43D6-44F6-83B7-0B63AC4B20C6},,,,
-8575000.81125973,4713754.55248765,9,Burdick (+ ECE Annex) ,1300 Allison Street NW,,,Closed,,,,,,,,,,,,,,,,,,,,PubSchPt_Closed_29,,,,,,,55000,,,,255251,397352.45,141867.84,,{CAD5023A-5D94-42B9-A8F3-6AD2B3F71143},,,,
-8574953.9761569,4713588.12950161,10,Sharpe Health Special Education School,"4300 13th Street, N.W.",Special Education,SE,Closed,,,,,,,,,,,,,,,,,,,2820 0801,PubSchPt_Closed_18,http://www.k12.dc.us/dcps/schools/results1.cfm?school_id=312,312,,,,,,,,2013,255254,,,,{EC2B4274-C6D8-45F7-AD88-499D002480AD},,,,
